,GEOID,popdensity,medhouseholdincome,pct_blk,hispanic,pct_owner_occ,education
1339,27051,10.83984488,55912,0.001684069,0.022566521,0.797001153,0.063754427
1340,27053,2230.740777,74113,0.130500098,0.069012965,0.643228909,0.067852454
1341,27055,33.80727558,58729,0.009912661,0.010823555,0.816027519,0.053871041
1342,27057,22.52910401,55472,0.007381843,0.020563704,0.810068121,0.071381579
1343,27059,89.44363662,72473,0.004875045,0.019269256,0.828728886,0.083433464
1344,27061,16.94703949,53022,0.005043913,0.014114107,0.80376072,0.064354611
1345,27063,14.29223995,57010,0.001293919,0.034637205,0.782569429,0.06875703
1346,27065,30.68124132,53300,0.003499125,0.015496126,0.818805551,0.096021827
1347,27067,53.4978036,59089,0.04819729,0.119016363,0.733444896,0.114971022
1348,27069,3.947000451,57112,0.008761817,0.020982246,0.824773414,0.059624109
1349,27071,4.072512529,47129,0.004824423,0.003242645,0.774770174,0.076816683
1350,27073,8.853395853,52199,0.008415768,0.021999114,0.810142631,0.0732
1351,27075,5.010771272,59516,0.007380074,0.015327846,0.806839378,0.03986178
1352,27077,2.934908055,49068,0.000262536,0.01680231,0.829035874,0.083969466
1353,27079,62.36907269,67451,0.008397956,0.058714219,0.828313813,0.072265216
1354,27081,10.63193501,52301,0.002628351,0.019099352,0.801476301,0.086848635
1355,27083,36.16843907,55525,0.034792368,0.066604745,0.664808839,0.079555072
1356,27085,72.89151004,61275,0.005582694,0.060376832,0.765762689,0.070121457
1357,27087,9.869786914,44537,0.005085361,0.041590992,0.720158494,0.13053821
1358,27089,5.291112839,58723,0.003833049,0.044186542,0.827430294,0.114494519
1359,27091,28.02643692,53915,0.00320577,0.042626728,0.752850028,0.072552756
1360,27093,37.95471134,61856,0.005546168,0.03825989,0.810483871,0.074006077
1361,27095,44.9506512,53888,0.004236629,0.023476368,0.761164667,0.101785208
1362,27097,29.28568105,54962,0.005341589,0.016601414,0.800764526,0.099344119
1363,27099,55.6735514,53665,0.035983031,0.112898338,0.740270407,0.130573727
1364,27101,11.85391704,57500,0.005866156,0.038309589,0.825934894,0.095593108
1365,27103,75.30632471,65027,0.031495131,0.044489832,0.734775838,0.057612795
1366,27105,30.54024147,54149,0.046705435,0.271578369,0.727787566,0.22244389
1367,27107,7.515024946,55206,0.005336179,0.050160085,0.795668879,0.087099605
1368,27109,234.1824989,74880,0.059216673,0.04835854,0.750035039,0.056030233
1369,27111,29.40997638,57131,0.013829494,0.033539109,0.792309291,0.077088988
