"","GEOID","FIPS","pm25_2014","pm25_2015","pm25_2016","pm25_2017","pm25_2018"
"797","16035","16035",3.10719320618225,5.0865209324116,1.95136221050704,4.42684386262978,2.1709098039468
"798","16085","16085",2.26768297462062,2.90759324330221,1.66147755320085,3.2198760526173,1.47632277669692
"799","16061","16061",2.63643851027803,4.56809820618896,1.86555358796166,4.53282059741053,2.56226883319038
"800","13263","13263",8.83963029319447,7.43330249938237,7.95075862256212,7.2048065978517,7.02378896158317
"801","16025","16025",2.35021086963147,2.93193169959791,2.43784160234936,3.33037435804272,2.04601272302951
"802","16043","16043",3.52487454986288,4.63765391361526,3.61754896228451,5.09046872307819,3.34286781155935
"803","16003","16003",3.25025193524398,4.33759466101181,2.68344585790786,5.07883524649816,3.32336265178572
"804","35051","35051",3.69706293424002,3.45624718678683,3.51766977747576,2.98076525913827,2.46340082457955
"805","35017","35017",3.85731843439396,3.25761535411239,3.24350845594129,2.9564596626975,2.11704297301245
"806","48507","48507",6.83644358311143,7.49142150789949,6.86714578321853,6.00992827942141,5.78940869786068
"807","48411","48411",5.28148634826765,5.72546346956615,5.05703985339774,4.13007459130956,3.44719151793536
"808","41023","41023",2.45010650540675,3.11650132807834,1.17641060946771,2.19911076965126,1.69057791271053
"809","01063","1063",8.92076754428535,8.405628866249,8.20993561777444,7.31651915953715,7.41043966585732
"810","40023","40023",7.36608571011352,6.80718106329043,6.69702883148787,5.89412484165707,6.5530893168007
"811","18123","18123",9.05616781968677,8.38749392454651,8.14572325775165,6.87795099840263,7.43085965472335
"812","55029","55029",6.20947217703352,4.59045957909218,4.60811108562258,4.27054400105926,4.9931824903819
"813","55023","55023",6.69963248832986,6.10215455167418,4.98797175341336,4.72383607609448,5.69536467117103
"814","56029","56029",2.67404018419374,2.91125639003326,2.24692210710121,3.03881253673777,2.08695843706411
"815","55001","55001",5.99585657691005,5.03715921589737,4.99347703621484,4.80256129893808,6.01909198703909
"816","55007","55007",4.94388832343163,4.14513176599535,3.52852087465745,3.49477517678839,4.50663460661973
"817","55051","55051",4.75418294585483,3.62230798860629,3.39199482330807,3.12567844444736,4.06442187128934
"818","40067","40067",6.26588066247067,6.70528023570151,6.29319381375267,5.72966513412395,5.84386609308365
"819","40075","40075",5.69982504104112,5.45966953021458,4.96147400640354,4.28465955045148,4.74707660819341
"820","54065","54065",7.74554226417451,7.47457301307432,6.67924905653038,5.3871019093043,5.89300436724498
"821","54021","54021",7.37517184444394,7.15402454524805,6.23521380879913,4.46830746193177,4.47839586284595
"822","20069","20069",5.3579405404066,5.06562886600479,4.59572757522384,4.54945872526242,5.25410158088438
"823","54063","54063",5.53949713343853,4.71738406588256,4.49708746562646,3.00747520981751,2.84747601298429
"824","20161","20161",5.77736835990318,4.9953532919778,4.64093052985924,4.36332423638161,4.51141007654513
"825","54023","54023",6.37292353385136,6.13445344158363,5.35347730792139,3.79537182622056,3.95687393452508
"826","20175","20175",5.40652965124386,5.13538679196783,4.68898727058647,4.74225475081994,5.38360498474795
"827","46127","46127",6.8856955099988,7.08054826624752,5.66875177352915,5.47248938732684,5.69528108641776
"828","49035","49035",4.83143234071312,4.64017702498458,4.6608889115015,4.59214169770758,5.03951019350041
