,GEOID,date.100pop
504,13195,5/19/2020
505,13197,4/10/2020
506,13189,4/12/2020
507,13191,5/28/2020
508,13199,4/11/2020
509,13201,4/4/2020
510,13205,3/31/2020
511,13207,5/5/2020
512,13209,5/25/2020
513,13211,4/18/2020
514,13213,5/7/2020
515,13215,4/17/2020
516,13217,4/16/2020
517,13219,4/14/2020
518,13221,4/14/2020
519,80013,NA
520,13223,4/28/2020
521,13225,4/16/2020
522,13227,5/9/2020
523,13229,4/6/2020
524,13231,4/14/2020
525,13233,4/25/2020
526,13235,4/17/2020
527,13237,4/20/2020
528,13239,4/7/2020
529,13241,5/28/2020
530,13243,4/3/2020
531,13245,4/17/2020
532,13247,4/11/2020
533,13249,4/4/2020
534,13251,4/22/2020
535,13253,4/6/2020
536,13255,4/12/2020
537,13257,4/17/2020
538,13259,4/13/2020
539,13261,3/31/2020
540,13263,4/8/2020
541,13265,6/12/2020
542,13267,5/31/2020
543,13269,4/14/2020
544,13271,4/22/2020
545,13273,3/29/2020
546,13275,4/9/2020
547,13277,4/6/2020
548,13279,4/25/2020
549,13281,4/19/2020
550,13283,5/13/2020
551,13285,4/16/2020
552,13287,4/3/2020
553,13289,5/14/2020
554,90013,NA
555,13291,4/23/2020
556,13293,4/7/2020
557,13295,5/13/2020
558,13297,4/25/2020
559,13299,4/7/2020
560,13301,4/7/2020
561,13303,4/10/2020
562,13305,6/9/2020
563,13307,4/6/2020
564,13309,5/14/2020
565,13311,4/21/2020
566,13313,5/1/2020
567,13315,4/12/2020
568,13317,4/16/2020
569,13319,4/11/2020
570,13321,3/31/2020
571,99999,NA
572,66,NA
573,15001,8/24/2020
574,15003,7/15/2020
575,15005,10/30/2020
576,15007,11/9/2020
577,15009,7/31/2020
578,80015,NA
579,90015,NA
580,16001,4/10/2020
581,16003,6/16/2020
582,16005,6/25/2020
583,16007,8/3/2020
584,16009,6/2/2020
585,16011,7/3/2020
586,16013,3/23/2020
587,16015,7/10/2020
588,16017,7/9/2020
589,16019,7/3/2020
590,16021,7/20/2020
591,16023,8/18/2020
592,16025,8/19/2020
593,16027,4/25/2020
594,16029,6/18/2020
595,16031,5/24/2020
596,16033,7/19/2020
597,16035,7/23/2020
598,16037,7/10/2020
599,16039,4/23/2020
600,16041,6/14/2020
601,16043,7/15/2020
602,16045,6/22/2020
603,16047,5/7/2020
604,16049,7/20/2020
605,16051,7/12/2020
606,16053,4/11/2020
607,16055,6/25/2020
608,16057,7/20/2020
609,16059,7/29/2020
610,16061,9/2/2020
611,16063,4/4/2020
612,16065,7/6/2020
613,16067,5/22/2020
614,16069,4/22/2020
